DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2023-12-07;WDOF24;0;4907,000;1;090043373;1560;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;2;090043373;1570;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1580;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;10;090043373;1590;1;2023-12-07;3;122
2023-12-07;WDOF24;0;4907,000;3;090043373;1600;1;2023-12-07;90;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1610;1;2023-12-07;308;122
2023-12-07;WDOF24;0;4907,000;8;090043373;1620;1;2023-12-07;1982;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1630;1;2023-12-07;4090;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1640;1;2023-12-07;4090;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1650;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1660;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;5;090043373;1670;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;10;090043373;1680;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;3;090043373;1690;1;2023-12-07;3;122
2023-12-07;WDOF24;0;4907,000;20;090043373;1700;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1710;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1720;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1730;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1740;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1750;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1760;1;2023-12-07;4090;122
2023-12-07;WDOF24;0;4907,000;2;090043373;1770;1;2023-12-07;3;122
2023-12-07;WDOF24;0;4907,000;3;090043373;1780;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;5;090043373;1790;1;2023-12-07;4090;122
2023-12-07;WDOF24;0;4907,000;100;090043373;1800;1;2023-12-07;3701;122
2023-12-07;WDOF24;0;4907,000;13;090043373;1810;1;2023-12-07;3;122
2023-12-07;WDOF24;0;4907,000;2;090043373;1820;1;2023-12-07;88;122
2023-12-07;WDOF24;0;4907,000;3;090043373;1830;1;2023-12-07;3;122
2023-12-07;WDOF24;0;4907,000;2;090043373;1840;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;10;090043373;1850;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1860;1;2023-12-07;4090;122
2023-12-07;WDOF24;0;4907,000;2;090043373;1870;1;2023-12-07;3;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1880;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;10;090043373;1890;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1900;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1910;1;2023-12-07;4090;122
2023-12-07;WDOF24;0;4907,000;10;090043373;1920;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;19;090043373;1930;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1940;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;5;090043373;1950;1;2023-12-07;3;122
2023-12-07;WDOF24;0;4907,000;5;090043373;1960;1;2023-12-07;3;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1970;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1980;1;2023-12-07;4090;122
2023-12-07;WDOF24;0;4907,000;182;090043373;1990;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;100;090043373;2000;1;2023-12-07;85;127
2023-12-07;WDOF24;0;4907,000;5;090043373;2010;1;2023-12-07;85;3
2023-12-07;WDOF24;0;4907,000;5;090043373;2020;1;2023-12-07;85;3
2023-12-07;WDOF24;0;4907,000;5;090043373;2030;1;2023-12-07;85;1099
2023-12-07;WDOF24;0;4907,000;3;090043373;2040;1;2023-12-07;85;308
2023-12-07;WDOF24;0;4907,000;1;090043373;2050;1;2023-12-07;3;308
2023-12-07;WDOF24;0;4907,000;1;090043373;2060;1;2023-12-07;4090;308
2023-12-07;WDOF24;0;4907,000;1;090043373;2070;1;2023-12-07;120;308
2023-12-07;WDOF24;0;4907,000;1;090043373;2080;1;2023-12-07;85;308
2023-12-07;WDOF24;0;4907,000;3;090043373;2090;1;2023-12-07;120;308
2023-12-07;WDOF24;0;4907,000;3;090043373;2100;1;2023-12-07;120;262
2023-12-07;WDOF24;0;4907,000;1;090043373;2110;1;2023-12-07;120;4090
2023-12-07;WDOF24;0;4907,000;1;090043373;2120;1;2023-12-07;120;85
2023-12-07;WDOF24;0;4907,000;1;090043373;2130;1;2023-12-07;120;120
2023-12-07;WDOF24;0;4907,000;1;090043373;2140;1;2023-12-07;120;308
2023-12-07;WDOF24;0;4907,000;1;090043373;2150;1;2023-12-07;120;88
2023-12-07;WDOF24;0;4907,000;1;090043373;2160;1;2023-12-07;120;4090
2023-12-07;WDOF24;0;4907,000;1;090043373;2170;1;2023-12-07;3;4090
2023-12-07;WDOF24;0;4907,000;1;090043373;2180;1;2023-12-07;3;4090
2023-12-07;WDOF24;0;4907,000;1;090043373;2190;1;2023-12-07;3;85
2023-12-07;WDOF24;0;4907,000;1;090043373;2200;1;2023-12-07;3;1982
2023-12-07;WDOF24;0;4907,000;1;090043373;2210;1;2023-12-07;3;308
2023-12-07;WDOF24;0;4907,000;1;090043373;2220;1;2023-12-07;3;1982
2023-12-07;WDOF24;0;4907,000;1;090043373;2230;1;2023-12-07;3;3
2023-12-07;WDOF24;0;4907,000;1;090043373;2240;1;2023-12-07;3;4090
2023-12-07;WDOF24;0;4907,000;2;090043373;2250;1;2023-12-07;3;85
2023-12-07;WDOF24;0;4907,000;4;090043373;2260;1;2023-12-07;3;85
2023-12-07;WDOF24;0;4907,000;2;090043373;2270;1;2023-12-07;3;3
2023-12-07;WDOF24;0;4907,000;50;090043373;2280;1;2023-12-07;3;3
2023-12-07;WDOF24;0;4907,000;3;090043373;2290;1;2023-12-07;85;3
2023-12-07;WDOF24;0;4907,000;1;090043373;2300;1;2023-12-07;85;3
2023-12-07;WDOF24;0;4907,000;2;090043373;2310;1;2023-12-07;3;3
2023-12-07;WDOF24;0;4907,000;2;090043373;2320;1;2023-12-07;85;3
2023-12-07;WDOF24;0;4907,000;5;090043373;2330;1;2023-12-07;3;3
2023-12-07;WDOF24;0;4907,000;2;090043373;2340;1;2023-12-07;308;3
2023-12-07;WDOF24;0;4907,000;1;090043373;2350;1;2023-12-07;3;3
2023-12-07;WDOF24;0;4907,000;1;090043373;2360;1;2023-12-07;120;3
2023-12-07;WDOF24;0;4907,000;1;090043373;2370;1;2023-12-07;120;3
2023-12-07;WDOF24;0;4907,000;1;090043373;2380;1;2023-12-07;120;3
2023-12-07;WDOF24;0;4907,000;1;090043373;2390;1;2023-12-07;120;85
2023-12-07;WDOF24;0;4907,000;3;090043373;2400;1;2023-12-07;120;4090
2023-12-07;WDOF24;0;4907,000;2;090043373;2410;1;2023-12-07;120;147
2023-12-07;WDOF24;0;4907,000;1;090043373;2420;1;2023-12-07;120;120
2023-12-07;WDOF24;0;4907,000;1;090043373;2430;1;2023-12-07;120;85
2023-12-07;WDOF24;0;4907,000;10;090043373;2440;1;2023-12-07;120;147
